category,cause,fix_applied,meeting,filename,path,chars_before,chars_after,recovered,outcome
A1 never parsed,no .doc extractor,textutil -convert txt,2021-03-16_Regular Meeting of the Board of Education 7_00 PM,M022321BdMtg.doc,2021-03-16_Regular Meeting of the Board of Education 7_00 PM/M022321BdMtg.doc,0,17473,17473,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-07-20_Regular Meeting of the Board of Education 9_30 AM,M061521BdMtg.doc,2021-07-20_Regular Meeting of the Board of Education 9_30 AM/M061521BdMtg.doc,0,16226,16226,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-07-26_Regular Meeting of the Board of Education 9_00 AM,M062122BdMtg.doc,2022-07-26_Regular Meeting of the Board of Education 9_00 AM/M062122BdMtg.doc,0,15809,15809,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-09-17_Regular Meeting of the Board of Education 7_00 PM,M082024BdMtg.doc,2024-09-17_Regular Meeting of the Board of Education 7_00 PM/M082024BdMtg.doc,0,14665,14665,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-05-17_Regular Meeting of the Board of Education 7_00 PM,M041922BdMtg.doc,2022-05-17_Regular Meeting of the Board of Education 7_00 PM/M041922BdMtg.doc,0,13433,13433,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-04-19_Regular Meeting of the Board of Education 7_00 PM,M031522BdMtg.doc,2022-04-19_Regular Meeting of the Board of Education 7_00 PM/M031522BdMtg.doc,0,12959,12959,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-08-16_Regular Meeting of the Board of Education 7_00 PM,M072622BdMtg.doc,2022-08-16_Regular Meeting of the Board of Education 7_00 PM/M072622BdMtg.doc,0,11791,11791,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-05-18_Regular Meeting of the Board of Education 7_00 PM,M042021BdMtg.doc,2021-05-18_Regular Meeting of the Board of Education 7_00 PM/M042021BdMtg.doc,0,11144,11144,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-06-15_Regular Meeting of the Board of Education 7_00 PM,M051821BdMtg.doc,2021-06-15_Regular Meeting of the Board of Education 7_00 PM/M051821BdMtg.doc,0,10663,10663,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-09-21_Regular Meeting of the Board of Education 7_00 PM,M081721BdMtg.doc,2021-09-21_Regular Meeting of the Board of Education 7_00 PM/M081721BdMtg.doc,0,9660,9660,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-08-17_Regular Meeting of the Board of Education 7_00 PM,M072021BdMtg.doc,2021-08-17_Regular Meeting of the Board of Education 7_00 PM/M072021BdMtg.doc,0,9269,9269,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-04-20_Regular Meeting of the Board of Education 7_00 PM,M031621BdMtg.doc,2021-04-20_Regular Meeting of the Board of Education 7_00 PM/M031621BdMtg.doc,0,9196,9196,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-12-12_Regular Meeting of the Board of Education 7_00 PM,M111423SpBdMtg.doc,2023-12-12_Regular Meeting of the Board of Education 7_00 PM/M111423SpBdMtg.doc,0,7855,7855,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-08-16_Regular Meeting of the Board of Education 7_00 PM,M072922SpBdMtg.doc,2022-08-16_Regular Meeting of the Board of Education 7_00 PM/M072922SpBdMtg.doc,0,7716,7716,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-09-21_Regular Meeting of the Board of Education 7_00 PM,6 B  ELEM-SEC hire list for Board 9.21.21.doc,2021-09-21_Regular Meeting of the Board of Education 7_00 PM/6 B  ELEM-SEC hire list for Board 9.21.21.doc,0,5519,5519,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-07-29_Special Meeting of the Board of Education 9_15 AM,3.B. Reimbursement Resolution - Proposed 2022 School Building and Site Bonds - Troy School.doc,2022-07-29_Special Meeting of the Board of Education 9_15 AM/3.B. Reimbursement Resolution - Proposed 2022 School Building and Site Bonds - Troy School.doc,0,5148,5148,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-07-29_Special Meeting of the Board of Education 9_15 AM,3.B. Reimbursement Resolution - Proposed 2022 School Building and Site Bonds - Troy School D(39412397.1).doc,2022-07-29_Special Meeting of the Board of Education 9_15 AM/3.B. Reimbursement Resolution - Proposed 2022 School Building and Site Bonds - Troy School D(39412397.1).doc,0,5116,5116,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-09-20_Regular Meeting of the Board of Education 7_00 PM,M081622BdMtg.doc,2022-09-20_Regular Meeting of the Board of Education 7_00 PM/M081622BdMtg.doc,0,4976,4976,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-02-27_Regular Meeting of the Board of Education 7_00 PM,5.G. Troy - Reaffirming Resolution re Section 1 - Sale of Preserved Parcel to Six Rivers_Oakland County Parks(276029097.1).doc,2024-02-27_Regular Meeting of the Board of Education 7_00 PM/5.G. Troy - Reaffirming Resolution re Section 1 - Sale of Preserved Parcel to Six Rivers_Oakland County Parks(276029097.1).doc,0,4756,4756,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-07-16_Regular Meeting of the Board of Education 9_30 AM,M060624SpBdMtg.doc,2024-07-16_Regular Meeting of the Board of Education 9_30 AM/M060624SpBdMtg.doc,0,4738,4738,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-09-19_Regular Meeting of the Board of Education 7_00 PM,M081523BdMtg.doc,2023-09-19_Regular Meeting of the Board of Education 7_00 PM/M081523BdMtg.doc,0,4592,4592,recovered
